trial,year,plot_name,access_name,plot_number,TCCpredicted
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-52-25_plot9,AF2011-52-25,9,7.230
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-52-25_plot9,AF2011-52-25,9,7.309
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-52-25_plot9,AF2011-52-25,9,7.520
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-52-25_plot9,AF2011-52-25,9,7.393
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-01_plot10,AF2011-53-01,10,6.274
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-01_plot10,AF2011-53-01,10,6.344
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-01_plot10,AF2011-53-01,10,6.709
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-01_plot10,AF2011-53-01,10,6.357
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-05_plot12,AF2011-53-05,12,6.921
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-05_plot12,AF2011-53-05,12,7.183
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-05_plot12,AF2011-53-05,12,6.940
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-05_plot12,AF2011-53-05,12,6.824
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Aipim-Brasilia_plot13,Aipim-Brasilia,13,6.936
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Aipim-Brasilia_plot13,Aipim-Brasilia,13,6.988
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Aipim-Brasilia_plot13,Aipim-Brasilia,13,6.878
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Aipim-Brasilia_plot13,Aipim-Brasilia,13,6.707
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_IAC-90_plot16,IAC-90,16,6.373
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_IAC-90_plot16,IAC-90,16,6.448
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_IAC-90_plot16,IAC-90,16,6.198
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_IAC-90_plot16,IAC-90,16,6.433
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-10_plot17,AF2011-53-10,17,6.461
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-10_plot17,AF2011-53-10,17,6.538
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-10_plot17,AF2011-53-10,17,6.282
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-10_plot17,AF2011-53-10,17,6.415
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-26_plot18,AF2011-53-26,18,6.725
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-26_plot18,AF2011-53-26,18,6.624
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-26_plot18,AF2011-53-26,18,6.580
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_AF2011-53-26_plot18,AF2011-53-26,18,6.690
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0014_plot20,BGM-0014,20,7.433
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0014_plot20,BGM-0014,20,7.497
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0014_plot20,BGM-0014,20,7.797
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0014_plot20,BGM-0014,20,7.424
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0017_plot21,BGM-0017,21,6.062
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0017_plot21,BGM-0017,21,6.373
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0017_plot21,BGM-0017,21,6.353
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0017_plot21,BGM-0017,21,6.009
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0018_plot22,BGM-0018,22,7.321
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0018_plot22,BGM-0018,22,6.965
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0018_plot22,BGM-0018,22,7.093
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0018_plot22,BGM-0018,22,7.004
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-396_plot23,BRS-396,23,9.066
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-396_plot23,BRS-396,23,8.741
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-396_plot23,BRS-396,23,8.765
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-396_plot23,BRS-396,23,8.516
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0019_plot24,BGM-0019,24,11.304
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0019_plot24,BGM-0019,24,11.276
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0019_plot24,BGM-0019,24,11.892
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0019_plot24,BGM-0019,24,11.756
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0020_plot25,BGM-0020,25,6.834
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0020_plot25,BGM-0020,25,7.054
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0020_plot25,BGM-0020,25,7.047
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0020_plot25,BGM-0020,25,6.829
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0021_plot26,BGM-0021,26,7.066
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0021_plot26,BGM-0021,26,6.956
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0021_plot26,BGM-0021,26,6.834
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0021_plot26,BGM-0021,26,6.883
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Gema-de-Ovo_plot31,BRS-Gema-de-Ovo,31,7.735
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Gema-de-Ovo_plot31,BRS-Gema-de-Ovo,31,7.660
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Gema-de-Ovo_plot31,BRS-Gema-de-Ovo,31,7.756
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Gema-de-Ovo_plot31,BRS-Gema-de-Ovo,31,7.694
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Kiriris_plot37,BRS-Kiriris,37,6.424
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Kiriris_plot37,BRS-Kiriris,37,6.423
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Kiriris_plot37,BRS-Kiriris,37,6.327
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Kiriris_plot37,BRS-Kiriris,37,6.340
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0054_plot50,BGM-0054,50,7.783
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0054_plot50,BGM-0054,50,8.140
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0054_plot50,BGM-0054,50,8.092
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0054_plot50,BGM-0054,50,7.968
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0061_plot54,BGM-0061,54,11.233
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0061_plot54,BGM-0061,54,11.291
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0061_plot54,BGM-0061,54,11.145
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0061_plot54,BGM-0061,54,11.380
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0062_plot55,BGM-0062,55,7.476
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0062_plot55,BGM-0062,55,7.351
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0062_plot55,BGM-0062,55,7.582
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0062_plot55,BGM-0062,55,7.216
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0063_plot56,BGM-0063,56,7.965
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0063_plot56,BGM-0063,56,7.898
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0063_plot56,BGM-0063,56,7.872
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0063_plot56,BGM-0063,56,7.869
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0067_plot59,BGM-0067,59,9.540
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0067_plot59,BGM-0067,59,9.410
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0067_plot59,BGM-0067,59,9.151
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0067_plot59,BGM-0067,59,9.260
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0069_plot60,BGM-0069,60,8.142
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0069_plot60,BGM-0069,60,8.010
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0069_plot60,BGM-0069,60,7.891
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0069_plot60,BGM-0069,60,8.015
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0070_plot63,BGM-0070,63,8.341
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0070_plot63,BGM-0070,63,8.240
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0070_plot63,BGM-0070,63,7.814
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0070_plot63,BGM-0070,63,8.219
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0070_plot63,BGM-0070,63,7.681
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0074_plot65,BGM-0074,65,6.557
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0074_plot65,BGM-0074,65,6.833
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0074_plot65,BGM-0074,65,6.984
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0074_plot65,BGM-0074,65,6.779
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0083_plot69,BGM-0083,69,7.006
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0083_plot69,BGM-0083,69,7.167
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0083_plot69,BGM-0083,69,6.999
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0083_plot69,BGM-0083,69,6.875
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0084_plot70,BGM-0084,70,6.693
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0084_plot70,BGM-0084,70,6.913
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0084_plot70,BGM-0084,70,6.805
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0084_plot70,BGM-0084,70,6.707
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0117_plot84,BGM-0117,84,7.014
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0117_plot84,BGM-0117,84,7.393
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0117_plot84,BGM-0117,84,7.192
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0117_plot84,BGM-0117,84,7.111
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0122_plot90,BGM-0122,90,8.711
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0122_plot90,BGM-0122,90,8.563
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0122_plot90,BGM-0122,90,8.851
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0122_plot90,BGM-0122,90,8.630
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Eucalipto_plot91,Eucalipto,91,7.452
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Eucalipto_plot91,Eucalipto,91,7.609
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Eucalipto_plot91,Eucalipto,91,7.274
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Eucalipto_plot91,Eucalipto,91,7.487
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0123_plot92,BGM-0123,92,7.626
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0123_plot92,BGM-0123,92,7.499
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0123_plot92,BGM-0123,92,7.448
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0123_plot92,BGM-0123,92,7.554
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0123_plot92,BGM-0123,92,7.617
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0123_plot92,BGM-0123,92,7.496
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0123_plot92,BGM-0123,92,7.416
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0123_plot92,BGM-0123,92,7.265
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0130_plot96,BGM-0130,96,7.049
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0130_plot96,BGM-0130,96,7.134
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0130_plot96,BGM-0130,96,6.815
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0130_plot96,BGM-0130,96,6.964
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0132_plot100,BGM-0132,100,9.859
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0132_plot100,BGM-0132,100,9.794
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0132_plot100,BGM-0132,100,9.654
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0132_plot100,BGM-0132,100,9.733
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0134_plot102,BGM-0134,102,7.837
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0134_plot102,BGM-0134,102,7.571
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0134_plot102,BGM-0134,102,7.539
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0134_plot102,BGM-0134,102,7.624
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0145_plot108,BGM-0145,108,8.270
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0145_plot108,BGM-0145,108,7.937
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0145_plot108,BGM-0145,108,8.175
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0145_plot108,BGM-0145,108,8.146
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0155_plot113,BGM-0155,113,6.417
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0155_plot113,BGM-0155,113,6.656
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0155_plot113,BGM-0155,113,6.580
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0155_plot113,BGM-0155,113,6.460
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0157_plot116,BGM-0157,116,7.133
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0157_plot116,BGM-0157,116,7.061
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0157_plot116,BGM-0157,116,6.993
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0157_plot116,BGM-0157,116,6.849
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0161_plot119,BGM-0161,119,6.678
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0161_plot119,BGM-0161,119,6.678
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0161_plot119,BGM-0161,119,6.273
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0161_plot119,BGM-0161,119,6.273
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0161_plot119,BGM-0161,119,6.265
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0161_plot119,BGM-0161,119,6.265
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0161_plot119,BGM-0161,119,6.335
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0161_plot119,BGM-0161,119,6.335
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0167_plot125,BGM-0167,125,7.019
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0167_plot125,BGM-0167,125,6.748
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0167_plot125,BGM-0167,125,6.876
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0167_plot125,BGM-0167,125,6.712
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0174_plot131,BGM-0174,131,6.629
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0174_plot131,BGM-0174,131,6.519
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0174_plot131,BGM-0174,131,6.622
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0174_plot131,BGM-0174,131,6.577
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Dourada_plot133,BRS-Dourada,133,8.055
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Dourada_plot133,BRS-Dourada,133,7.868
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Dourada_plot133,BRS-Dourada,133,7.862
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BRS-Dourada_plot133,BRS-Dourada,133,8.174
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0185_plot136,BGM-0185,136,6.647
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0185_plot136,BGM-0185,136,6.834
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0185_plot136,BGM-0185,136,6.868
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0185_plot136,BGM-0185,136,6.653
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0186_plot138,BGM-0186,138,6.786
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0186_plot138,BGM-0186,138,6.422
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0186_plot138,BGM-0186,138,6.720
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0186_plot138,BGM-0186,138,6.639
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0187_plot139,BGM-0187,139,6.980
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0187_plot139,BGM-0187,139,6.949
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0187_plot139,BGM-0187,139,6.807
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0187_plot139,BGM-0187,139,6.777
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0189_plot144,BGM-0189,144,6.482
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0189_plot144,BGM-0189,144,6.655
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0189_plot144,BGM-0189,144,6.494
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0189_plot144,BGM-0189,144,6.941
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0195_plot147,BGM-0195,147,6.835
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0195_plot147,BGM-0195,147,6.688
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0195_plot147,BGM-0195,147,6.746
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0195_plot147,BGM-0195,147,6.626
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0211_plot156,BGM-0211,156,7.128
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0211_plot156,BGM-0211,156,6.713
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0211_plot156,BGM-0211,156,6.639
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0211_plot156,BGM-0211,156,6.965
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0212_plot157,BGM-0212,157,7.429
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0212_plot157,BGM-0212,157,7.551
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0212_plot157,BGM-0212,157,7.429
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0212_plot157,BGM-0212,157,7.424
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0212_plot157,BGM-0212,157,7.672
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0212_plot157,BGM-0212,157,7.430
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0212_plot157,BGM-0212,157,7.375
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0212_plot157,BGM-0212,157,7.999
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0213_plot159,BGM-0213,159,7.270
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0213_plot159,BGM-0213,159,7.348
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0213_plot159,BGM-0213,159,7.344
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0213_plot159,BGM-0213,159,7.009
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0220_plot162,BGM-0220,162,7.208
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0220_plot162,BGM-0220,162,7.208
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0220_plot162,BGM-0220,162,6.919
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0220_plot162,BGM-0220,162,6.919
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0220_plot162,BGM-0220,162,7.432
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0220_plot162,BGM-0220,162,7.432
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0220_plot162,BGM-0220,162,7.259
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0220_plot162,BGM-0220,162,7.259
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0226_plot166,BGM-0226,166,7.324
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0226_plot166,BGM-0226,166,7.393
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0226_plot166,BGM-0226,166,7.095
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0226_plot166,BGM-0226,166,7.280
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Eucalipto_plot171,Eucalipto,171,7.329
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Eucalipto_plot171,Eucalipto,171,7.144
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Eucalipto_plot171,Eucalipto,171,7.187
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_Eucalipto_plot171,Eucalipto,171,7.379
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0238_plot173,BGM-0238,173,6.808
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0238_plot173,BGM-0238,173,7.606
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0238_plot173,BGM-0238,173,7.107
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0238_plot173,BGM-0238,173,7.552
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0252_plot180,BGM-0252,180,8.029
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0252_plot180,BGM-0252,180,8.220
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0252_plot180,BGM-0252,180,8.221
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0252_plot180,BGM-0252,180,8.345
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0264_plot182,BGM-0264,182,7.075
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0264_plot182,BGM-0264,182,6.841
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0264_plot182,BGM-0264,182,6.671
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0264_plot182,BGM-0264,182,6.844
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0266_plot183,BGM-0266,183,6.763
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0266_plot183,BGM-0266,183,6.731
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0266_plot183,BGM-0266,183,6.437
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0266_plot183,BGM-0266,183,6.329
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0284_plot192,BGM-0284,192,6.636
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0284_plot192,BGM-0284,192,6.792
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0284_plot192,BGM-0284,192,6.531
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0284_plot192,BGM-0284,192,6.692
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0285_plot193,BGM-0285,193,7.601
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0285_plot193,BGM-0285,193,7.603
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0285_plot193,BGM-0285,193,7.721
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0285_plot193,BGM-0285,193,7.649
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0289_plot198,BGM-0289,198,7.317
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0289_plot198,BGM-0289,198,7.415
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0289_plot198,BGM-0289,198,7.265
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0289_plot198,BGM-0289,198,7.703
BR.BAG.18.UFRB,18,BR.BAG1.18.UFRB_BGM-0294_plot200,BGM-0294,200,7.336
